Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two,alcohol,dance,veg,pet,music,valet,buffet,vegan,rooftop,sugarfree,takeawayonly
Namaste - Indian Restaurant,https://www.zomato.com/pune/namaste-indian-restaurant-parvati,Wanowrie Kondhwa Area,3.6,"North Indian, South Indian",,0,0,0,0,0,0,0,0,0,0,0
Jadhavanche Thalipeeth,https://www.zomato.com/pune/jadhavanche-thalipeeth-bhosari,Bhosari,3.1,Maharashtrian,,0,0,0,0,0,0,0,0,0,0,0
Big Bang,https://www.zomato.com/pune/big-bang-wakad,Wakad,0,"Pizza, Fast Food",500,0,0,0,0,0,0,0,0,0,0,0
Sargar Biryanis,https://www.zomato.com/pune/sargar-biryanis-sadashiv-peth,Sadashiv Peth,3.3,"Biryani, North Indian, Chinese",800,0,0,0,0,0,0,0,0,0,0,0
MM Biryani House,https://www.zomato.com/pune/mm-biryani-house-wakad,Wakad,2.9,Biryani,,0,0,0,0,0,0,0,0,0,0,0
Sarpanch Mala,https://www.zomato.com/pune/sarpanch-mala-nigdi,Nigdi,2.9,"Chinese, North Indian, Seafood, Beverages",700,0,0,0,0,0,0,0,0,0,0,0
Hotel Mavala,https://www.zomato.com/pune/hotel-mavala-narhe,Narhe,3.1,North Indian,300,0,0,0,0,0,0,0,0,0,0,0
Hotel Anand Bhuwan,https://www.zomato.com/pune/hotel-anand-bhuwan-shukrawar-peth,Shukrawar Peth,3.3,"Maharashtrian, Malwani",450,0,0,0,0,0,0,0,0,0,0,0
Gavathi Restaurant,https://www.zomato.com/pune/gavathi-restaurant-wakad,Wakad,3.2,North Indian,350,0,0,1,0,0,0,0,0,0,0,0
Sarang,https://www.zomato.com/pune/sarang-fc-road,FC Road,0,"North Indian, Street Food, Chinese",550,0,0,0,0,0,0,0,0,0,0,0
Red Chillies,https://www.zomato.com/pune/red-chillies-wagholi,Wagholi,3.5,Chinese,200,0,0,0,0,0,0,0,0,0,0,0
Chai Nashto,https://www.zomato.com/pune/chai-nashto-koregaon-park,KP and Kalyani,0,"Maharashtrian, Gujarati",,0,0,0,0,0,0,0,0,0,0,0
Tea Post,https://www.zomato.com/pune/tea-post-baner,Baner,0,Cafe,300,0,0,0,0,0,0,0,0,0,0,0
Jorden Biryani,https://www.zomato.com/pune/jorden-biryani-akurdi,Akurdi,0,"North Indian, Biryani",300,0,0,0,0,0,0,0,0,0,0,0
Kastakaar Wadi Family  Restaurant,https://www.zomato.com/pune/kastakaar-wadi-family-restaurant-sinhgad-road,Sinhgad Road,3.4,Maharashtrian,350,0,0,1,0,0,0,0,0,0,0,0
Food Paradise,https://www.zomato.com/pune/food-paradise-kothrud,Kothrud,3,"North Indian, Chinese",400,0,0,0,0,0,0,0,0,0,0,0
