,Locality,Sponsored,Number of votes,Ratings_out_of_5,Charges_for_two,Cuisines,Wine and Beer,Vegetarian Only,Vegan Options,Sugar Free Options,Buffet
6456,Satara Road,Sweet Shop,15,3.2,150,Mithai,0,1,0,0,0
6457,Nigdi,Dessert Parlor,0,0.0,100,Desserts,0,1,0,0,0
6458,Pimple Saudagar,Casual Dining,60,2.9,500,"Biryani, North Indian, Chinese",0,0,0,0,0
6459,FC Road,Quick Bites,0,0.0,150,Fast Food,0,1,0,0,0
6460,Hinjawadi,Casual Dining,40,2.8,350,"North Indian, Chinese, South Indian",0,0,0,0,0
6461,Yerawada,Quick Bites,10,3.3,500,"North Indian, Chinese",0,0,0,0,0
6462,Bhosari,Casual Dining,0,0.0,500,"North Indian, Chinese",0,1,0,0,0
6463,Bhosari,Quick Bites,31,3.2,350,"North Indian, Chinese",0,0,0,0,0
6464,Baner,Casual Dining,145,3.6,700,North Indian,0,0,0,0,0
6465,Rasta Peth,Quick Bites,16,3.4,600,"North Indian, Maharashtrian",0,0,0,0,0
6466,Sus,Quick Bites,19,2.9,350,"Pizza, Fast Food, Beverages",0,1,0,0,0
